>ptg000019l	658483
1	12	0
13	22	1
23	382	2
383	486	3
487	768	4
769	795	6
796	1007	7
1008	1589	8
1590	2078	9
2079	2164	10
2165	2411	11
2412	2575	12
2576	2681	13
2682	3186	14
3187	3217	15
3218	3372	16
3373	3794	17
3795	4286	18
4287	4617	19
4618	4890	20
4891	5261	21
5262	5730	20
5731	6483	21
6484	6706	22
6707	6837	23
6838	7063	24
7064	7569	25
7570	7625	26
7626	7849	27
7850	7998	28
7999	8189	29
8190	8300	30
8301	8362	29
8363	8415	30
8416	8749	31
8750	9291	30
9292	9645	31
9646	9706	30
9707	9772	31
9773	9818	30
9819	9889	29
9890	9944	28
9945	9951	27
9952	10149	26
10150	10524	27
10525	10623	28
10624	10890	29
10891	10897	30
10898	11210	29
11211	11255	28
11256	11259	27
11260	11292	28
11293	11323	29
11324	11572	30
11573	11730	29
11731	11861	28
11862	11946	29
11947	12119	30
12120	12151	29
12152	12249	30
12250	12619	31
12620	12644	32
12645	12766	33
12767	12856	34
12857	12908	33
12909	13203	34
13204	13214	35
13215	13595	34
13596	13635	35
13636	13876	34
13877	13895	35
13896	13996	34
13997	14280	35
14281	14372	36
14373	14599	35
14600	14961	36
14962	14990	37
14991	15048	38
15049	15600	37
15601	15950	39
15951	15969	40
15970	16007	39
16008	16141	38
16142	16239	39
16240	16276	40
16277	16340	39
16341	16717	40
16718	17004	42
17005	17158	41
17159	17322	40
17323	17600	39
17601	17674	38
17675	17753	37
17754	17783	38
17784	17825	39
17826	17940	41
17941	18053	40
18054	18130	41
18131	18336	40
18337	18393	39
18394	18496	38
18497	18684	37
18685	19107	38
19108	19354	39
19355	19417	38
19418	19445	39
19446	19528	40
19529	19634	41
19635	19697	42
19698	19823	43
19824	19978	42
19979	20468	41
20469	20498	40
20499	20504	39
20505	20675	38
20676	21077	39
21078	21115	40
21116	21195	39
21196	21255	38
21256	21333	37
21334	21839	36
21840	21843	34
21844	21904	33
21905	22306	34
22307	22483	35
22484	22706	36
22707	22735	37
22736	22965	38
22966	23299	35
23300	23374	34
23375	23435	33
23436	23501	32
23502	23712	33
23713	23792	32
23793	24026	33
24027	24104	34
24105	24218	33
24219	24303	32
24304	24409	33
24410	24605	32
24606	24696	31
24697	24856	30
24857	24907	31
24908	25033	30
25034	25426	29
25427	25495	28
25496	25534	29
25535	25552	28
25553	25638	29
25639	25744	28
25745	26158	29
26159	26268	30
26269	26445	29
26446	26507	28
26508	26601	29
26602	26790	28
26791	26950	29
26951	26988	28
26989	27031	27
27032	27054	26
27055	27096	27
27097	27115	28
27116	27217	27
27218	27825	28
27826	27950	27
27951	27969	28
27970	28070	27
